Date,Label,Sets,Start Time,End Time (hr:min:sec),Pump,Stokes,Probe,Frequency,Signal,Range,Dwell,Bandwidth,Data Rate,Order,Start Frequency,Stop Frequency,Step,Num Avgs,Pump Laser,Probe Laser,Stokes Filter,Probe Filter,Notes
23-10-27,10 GHz,1,10:31:42,10:37:13,69.7,27.82,48.16,1/frequency.csv,1/signal.csv,0.04,0.1,100,1.842000e+09,8,2.350000e+09,2.700000e+09,2.004560e+06,5,1548.808,1548.888,1548.844,1548.924,
23-10-27,10.25 GHz,2,10:45:18,10:50:51,69.9,26.91,48.31,2/frequency.csv,2/signal.csv,0.04,0.1,100,1.842000e+09,8,2.350000e+09,2.700000e+09,2.004560e+06,5,1548.808,1548.890,1548.844,1548.926,
23-10-27,10.5 GHz,3,11:04:00,11:09:32,70.2,29.67,48.59,3/frequency.csv,3/signal.csv,0.04,0.1,100,1.842000e+09,8,2.350000e+09,2.700000e+09,2.004560e+06,5,1548.808,1548.892,1548.844,1548.928,
23-10-27,11 GHz,4,11:17:27,11:22:59,70.1,29.83,48.62,4/frequency.csv,4/signal.csv,0.04,0.1,100,1.842000e+09,8,2.350000e+09,2.700000e+09,2.004560e+06,5,1548.808,1548.894,1548.844,1548.930,
23-10-27,11.5 GHz,5,11:30:30,11:36:02,70.1,29.80,48.61,5/frequency.csv,5/signal.csv,0.04,0.1,100,1.842000e+09,8,2.350000e+09,2.700000e+09,2.004560e+06,5,1548.808,1548.896,1548.844,1548.932,
23-10-27,12 GHz,6,11:43:23,11:48:55,70.1,29.75,48.53,6/frequency.csv,6/signal.csv,0.04,0.1,100,1.842000e+09,8,2.350000e+09,2.700000e+09,2.004560e+06,5,1548.808,1548.898,1548.844,1548.934,
23-10-27,12.5 GHz,7,11:56:47,12:02:19,70.0,29.80,48.10,7/frequency.csv,7/signal.csv,0.04,0.1,100,1.842000e+09,8,2.350000e+09,2.700000e+09,2.004560e+06,5,1548.808,1548.900,1548.844,1548.936,
23-10-27,13 GHz,8,12:10:03,12:15:35,70.1,29.77,47.66,8/frequency.csv,8/signal.csv,0.04,0.1,100,1.842000e+09,8,2.350000e+09,2.700000e+09,2.004560e+06,5,1548.808,1548.902,1548.844,1548.938,
23-10-27,13.5 GHz,9,12:22:55,12:28:27,70.2,29.73,48.51,9/frequency.csv,9/signal.csv,0.04,0.1,100,1.842000e+09,8,2.350000e+09,2.700000e+09,2.004560e+06,5,1548.808,1548.904,1548.844,1548.940,
23-10-27,14 GHz,10,12:35:52,12:41:24,70.1,29.67,48.45,10/frequency.csv,10/signal.csv,0.04,0.1,100,1.842000e+09,8,2.350000e+09,2.700000e+09,2.004560e+06,5,1548.808,1548.906,1548.844,1548.942,
23-10-27,14.5 GHz,11,12:48:42,12:54:14,70.1,29.74,48.19,11/frequency.csv,11/signal.csv,0.04,0.1,100,1.842000e+09,8,2.350000e+09,2.700000e+09,2.004560e+06,5,1548.808,1548.908,1548.844,1548.944,
23-10-27,15 GHz,12,13:01:32,13:07:05,70.3,30.12,48.30,12/frequency.csv,12/signal.csv,0.04,0.1,100,1.842000e+09,8,2.350000e+09,2.700000e+09,2.004560e+06,5,1548.808,1548.910,1548.844,1548.946,
23-10-27,15.5 GHz,13,13:14:20,13:19:52,70.0,30.07,48.39,13/frequency.csv,13/signal.csv,0.04,0.1,100,1.842000e+09,8,2.350000e+09,2.700000e+09,2.004560e+06,5,1548.808,1548.912,1548.844,1548.948,
23-10-27,16 GHz,14,13:27:14,13:32:47,70.1,29.63,48.03,14/frequency.csv,14/signal.csv,0.04,0.1,100,1.842000e+09,8,2.350000e+09,2.700000e+09,2.004560e+06,5,1548.808,1548.914,1548.844,1548.950,
